Layers,"latitude=37.957332, longitude=-2.163181",Month,Percent,Type_v
pnv_forest.tree.sp_eu.forest00k.juniperus.phoenicea_p_1km_s0..0cm_2000..2017_v0.1.tif,1,,,
pnv_forest.tree.sp_eu.forest00k.juniperus.thurifera_p_1km_s0..0cm_2000..2017_v0.1.tif,4,,,
pnv_forest.tree.sp_eu.forest00k.larix.decidua_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.olea.europaea_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.ostrya.carpinifolia_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.picea.abies_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.picea.omorika_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.picea.sitchensis_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.pinus.cembra_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.pinus.halepensis.and.pinus.brutia_p_1km_s0..0cm_2000..2017_v0.1.tif,70,,,
pnv_forest.tree.sp_eu.forest00k.pinus.mugo_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.pinus.nigra_p_1km_s0..0cm_2000..2017_v0.1.tif,1,,,
pnv_forest.tree.sp_eu.forest00k.pinus.pinaster_p_1km_s0..0cm_2000..2017_v0.1.tif,2,,,
pnv_forest.tree.sp_eu.forest00k.pinus.pinea_p_1km_s0..0cm_2000..2017_v0.1.tif,1,,,
pnv_forest.tree.sp_eu.forest00k.pinus.sylvestris_p_1km_s0..0cm_2000..2017_v0.1.tif,1,,,
pnv_forest.tree.sp_eu.forest00k.populus.alba_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.populus.nigra_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.populus.tremula_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.prunus.avium_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.prunus.cerasifera_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.prunus.mahaleb_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.prunus.padus_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.prunus.spinosa_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.cerris_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.frainetto_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.ilex_p_1km_s0..0cm_2000..2017_v0.1.tif,20,,,
pnv_forest.tree.sp_eu.forest00k.quercus.palustris_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.pubescens_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.pyrenaica_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.robur.and.quercus.petraea_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.quercus.suber_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.robinia.pseudoacacia_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.salix.alba_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.salix.caprea_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.sambucus.nigra_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.sorbus.aria_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.sorbus.aucuparia_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.sorbus.domestica_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.sorbus.torminalis_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.tamarix.spp._p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.taxus.baccata_p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.tilia.spp._p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
pnv_forest.tree.sp_eu.forest00k.ulmus.spp._p_1km_s0..0cm_2000..2017_v0.1.tif,0,,,
lcv_land.cover_esacci.lc.l4_c_250m_s0..0cm_2015_v1.0.tif,11,,,
