Target age (ka),Site Name,Latitude,Longitude,New global consolidated biome scheme,Biome 6000 Consolidated Name,Biome 6000 biome code,MegaBiomes (Scheme 2),Remove_points
0,20.PMA,45.830,-89.670,cool mixed forest,cool mixed forest,23,temperate forest,0
0,201PC.3,51.450,-78.530,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,202PC.2,51.470,-78.850,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,21.A.,46.030,-89.680,cool mixed forest,cool mixed forest,23,temperate forest,0
0,21.B.,46.020,-89.720,cool mixed forest,cool mixed forest,23,temperate forest,0
0,21C+D,46.020,-89.680,cool mixed forest,cool mixed forest,23,temperate forest,0
0,22.PMA,45.900,-89.470,cool mixed forest,cool mixed forest,23,temperate forest,0
0,24.PMA,46.000,-89.000,cool mixed forest,cool mixed forest,23,temperate forest,0
0,26.PMA,45.870,-88.270,cool mixed forest,cool mixed forest,23,temperate forest,0
0,3.8 km from Yellapur,14.945,74.695,tropical deciduous broadleaf forest and woodland,tropical deciduous broadleaf forest and woodland,29,tropical forest,0
0,3.PMA,44.170,-91.700,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,31.PMA,45.670,-88.980,cool mixed forest,cool mixed forest,23,temperate forest,0
0,310BLUFF,43.050,-76.720,cool mixed forest,cool mixed forest,23,temperate forest,0
0,311SAVAN,43.080,-76.770,cool mixed forest,cool mixed forest,23,temperate forest,0
0,312CRUSO,43.080,-76.780,cool mixed forest,cool mixed forest,23,temperate forest,0
0,321+322,40.870,-72.880,cool mixed forest,cool mixed forest,23,temperate forest,0
0,33.PMA,45.580,-88.680,cool mixed forest,cool mixed forest,23,temperate forest,0
0,35.PMA,45.470,-88.950,cool mixed forest,cool mixed forest,23,temperate forest,0
0,36.PMA,45.480,-89.250,cool mixed forest,cool mixed forest,23,temperate forest,0
0,4.PMA,44.400,-91.400,cool mixed forest,cool mixed forest,23,temperate forest,0
0,44.PMA,44.820,-88.400,cool mixed forest,cool mixed forest,23,temperate forest,0
0,45.A.,44.820,-88.870,cool mixed forest,cool mixed forest,23,temperate forest,0
0,50.PMA,44.380,-88.930,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,502PC12,46.600,-74.200,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,504PC11,46.930,-74.670,cool mixed forest,cool mixed forest,23,temperate forest,0
0,507PC10,47.120,-74.530,cool mixed forest,cool mixed forest,23,temperate forest,0
0,51.PMA,44.370,-88.870,cool mixed forest,cool mixed forest,23,temperate forest,0
0,514PC.9,48.120,-75.370,cool mixed forest,cool mixed forest,23,temperate forest,0
0,529PC.8,49.030,-75.380,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,53.PMA,44.300,-89.180,cool mixed forest,cool mixed forest,23,temperate forest,0
0,534PC.7,49.530,-76.130,cool mixed forest,cool mixed forest,23,temperate forest,0
0,54.PMA,44.100,-89.300,cool mixed forest,cool mixed forest,23,temperate forest,0
0,547PC.6,50.400,-77.770,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,548PC.5,50.650,-78.030,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,55.PMA,43.930,-89.280,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,550PC.4,50.900,-77.900,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,56.PMA,43.580,-88.900,steppe,steppe,7,grassland and dry shrubland,0
0,58.PMA,43.300,-89.650,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,59.PMA,43.100,-89.970,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,6 Asseyes Lake,62.650,-141.070,cold deciduous forest,cold deciduous forest,8,boreal forest,0
0,6.A.,44.570,-92.030,cool mixed forest,cool mixed forest,23,temperate forest,0
0,6.B.,44.580,-92.030,cool mixed forest,cool mixed forest,23,temperate forest,0
0,60.PMA,42.950,-90.450,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,606+607,44.370,-68.250,cool mixed forest,cool mixed forest,23,temperate forest,0
0,61.PMA,43.000,-90.100,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,613.SIL,44.550,-63.650,cool mixed forest,cool mixed forest,23,temperate forest,0
0,62.PMA,42.970,-90.050,steppe,steppe,7,grassland and dry shrubland,0
0,620+621,44.870,-72.150,cool mixed forest,cool mixed forest,23,temperate forest,0
0,622+623,44.970,-68.130,cool mixed forest,cool mixed forest,23,temperate forest,0
0,62589SRI,25.320,-81.150,temperate evergreen needleleaf open woodland,temperate evergreen needleleaf open woodland,9,temperate forest,0
0,626PC19,45.120,-74.970,cool mixed forest,cool mixed forest,23,temperate forest,0
0,629+630,41.430,-70.600,cool mixed forest,cool mixed forest,23,temperate forest,0
0,63.PMA,43.020,-89.750,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,631MCK.J,45.450,-75.670,cool mixed forest,cool mixed forest,23,temperate forest,0
0,632PC18,45.500,-74.800,cool mixed forest,cool mixed forest,23,temperate forest,0
0,635M.N.O,45.530,-75.920,cool mixed forest,cool mixed forest,23,temperate forest,0
0,64.PMA,43.070,-89.620,steppe,steppe,7,grassland and dry shrubland,0
0,6416ASAE,25.510,-80.770,temperate evergreen needleleaf open woodland,temperate evergreen needleleaf open woodland,9,temperate forest,0
0,643PC17,45.920,-73.780,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65.70.89,50.680,-99.870,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65.71.90,50.880,-100.050,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65.73.93,50.730,-99.950,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65.82.95,49.430,-96.380,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,65LF-R75,49.200,-95.320,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65LF-R76,50.000,-96.220,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,65LF-R83,49.830,-99.580,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65LF-R84,49.680,-95.250,cool mixed forest,cool mixed forest,23,temperate forest,0
0,65LF-R88,49.330,-99.580,cool mixed forest,cool mixed forest,23,temperate forest,0
0,66.PMA,42.950,-89.400,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,67.PMA,42.970,-89.250,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,68.PMA,42.880,-89.250,cool mixed forest,cool mixed forest,23,temperate forest,0
0,6A.PMA,44.570,-92.030,cool mixed forest,cool mixed forest,23,temperate forest,0
0,6B.PMA,44.580,-92.030,cool mixed forest,cool mixed forest,23,temperate forest,0
0,7.PMA,44.630,-91.980,cool mixed forest,cool mixed forest,23,temperate forest,0
0,"70 Mile Lake, Richardson Hwy",61.520,-145.230,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,70.PMA,42.900,-89.000,steppe,steppe,7,grassland and dry shrubland,0
0,709BBPG,34.320,-84.870,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,71.PMA,43.000,-89.000,cool mixed forest,cool mixed forest,23,temperate forest,0
0,72.PMA,43.070,-88.930,cool mixed forest,cool mixed forest,23,temperate forest,0
0,721MYERS,41.330,-86.250,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,836VESTA,43.400,-84.930,cool mixed forest,cool mixed forest,23,temperate forest,0
0,9.PMA,44.770,-91.420,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A–angucocha,-0.530,-77.030,warm-temperate evergreen and mixed forest,warm-temperate rainforest,34,warm-temperate forest,0
0,A001,51.250,27.660,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A002,54.500,23.810,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A013,53.510,30.530,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A015,54.780,24.030,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A016,54.880,23.310,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,A017,54.510,20.810,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A018,53.860,21.880,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A019,52.000,27.500,cool mixed forest,cool-temperate evergreen needleleaf and mixed forest,24,temperate forest,0
0,A020,51.750,27.610,cool mixed forest,cool-temperate evergreen needleleaf and mixed forest,24,temperate forest,0
0,A021,52.250,29.810,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,A049,54.810,25.260,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,A050,54.380,24.030,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,A066,51.430,30.630,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A067,51.780,31.130,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,A068,51.500,32.000,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A069,52.010,31.760,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A089,54.960,31.580,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,A091,51.560,31.510,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A094,50.810,29.580,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,A095,49.210,28.460,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A096,48.910,24.060,cool mixed forest,cool mixed forest,23,temperate forest,0
0,A097,48.560,27.160,cool mixed forest,cool-temperate evergreen needleleaf and mixed forest,24,temperate forest,0
0,A098,48.250,24.330,cool evergreen needleleaf forest,cool evergreen needleleaf forest,22,temperate forest,0
0,Abbe forest road BSP26,13.504,75.082,tropical evergreen broadleaf forest,tropical evergreen broadleaf forest,15,tropical forest,0
0,Ace Lake,64.520,-147.560,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,Achhabal (Kash.),34.500,74.500,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,Achit-Nur 6,49.500,90.600,steppe,steppe,7,grassland and dry shrubland,0
0,Adamson's  Peak,-43.350,146.817,cool-temperate rainforest,cool-temperate rainforest,26,temperate forest,0
0,Adamsvatnet,64.520,29.450,cold evergreen needleleaf forest,cold evergreen needleleaf forest,12,boreal forest,0
0,Adimadeswaram Gudi (EG)(SI),11.792,77.549,tropical deciduous broadleaf forest and woodland,tropical deciduous broadleaf forest and woodland,29,tropical forest,0
0,ADRK399,43.780,-74.250,cool mixed forest,cool mixed forest,23,temperate forest,0
0,Af-1,-32.700,26.870,steppe,steppe,7,grassland and dry shrubland,0
0,Af-10,-32.080,26.130,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-100,-22.770,29.420,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-1009,31.120,36.030,desert,desert,6,desert,0
0,Af-101,-22.580,28.530,steppe,steppe,7,grassland and dry shrubland,0
0,Af-102,-22.550,28.620,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-103,-22.000,48.000,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-104,-22.000,48.000,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-105,-22.000,56.000,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-1055,31.600,36.050,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1058,31.770,36.000,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-1059,31.850,35.940,steppe,steppe,7,grassland and dry shrubland,0
0,Af-106,-21.770,47.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-1060,31.850,35.940,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1061,32.010,35.820,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1062,32.090,35.760,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1063,32.170,35.700,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1065,32.250,35.640,steppe,steppe,7,grassland and dry shrubland,0
0,Af-1067,32.330,35.580,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-107,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-108,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-109,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-11,-32.080,26.140,steppe,steppe,7,grassland and dry shrubland,0
0,Af-110,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-111,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-112,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-113,-21.120,55.500,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-1132,33.690,46.410,temperate deciduous broadleaf forest,temperate deciduous broadleaf forest,13,temperate forest,0
0,Af-114,-21.120,55.620,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-115,-21.120,55.620,steppe,steppe,7,grassland and dry shrubland,0
0,Af-116,-21.120,55.620,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-117,-21.120,55.620,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-118,-21.100,55.480,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-119,-21.100,55.480,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-12,-32.080,26.140,steppe,steppe,7,grassland and dry shrubland,0
0,Af-120,-21.030,55.550,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-121,-21.030,55.550,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-122,-21.030,55.550,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-1227,34.400,37.760,cool mixed forest,cool mixed forest,23,temperate forest,0
0,Af-1228,34.400,37.760,cool mixed forest,cool mixed forest,23,temperate forest,0
0,Af-123,-21.030,55.550,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-124,-20.450,57.470,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-125,-20.430,57.470,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-126,-20.430,57.470,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-127,-20.430,57.470,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-128,-20.430,57.470,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-129,-20.430,57.470,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-13,-32.080,26.140,steppe,steppe,7,grassland and dry shrubland,0
0,Af-130,-20.420,57.420,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-131,-20.420,57.420,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-1315,35.270,41.040,desert,desert,6,desert,0
0,Af-132,-20.420,57.420,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-133,-20.330,57.500,steppe,steppe,7,grassland and dry shrubland,0
0,Af-134,-20.080,57.530,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-135,-19.530,47.030,steppe,steppe,7,grassland and dry shrubland,0
0,Af-136,-19.420,47.200,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-137,-19.330,47.330,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-138,-19.330,47.330,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-139,-19.330,47.330,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-14,-31.850,24.500,steppe,steppe,7,grassland and dry shrubland,0
0,Af-140,-19.330,47.330,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-141,-19.330,47.330,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-142,-19.330,47.430,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-143,-19.330,47.430,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-144,-18.920,47.930,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-145,-18.920,47.930,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-146,-18.830,49.150,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-147,-18.830,49.150,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-148,-18.830,49.150,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-149,-18.830,49.150,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-15,-31.830,24.870,steppe,steppe,7,grassland and dry shrubland,0
0,Af-150,-18.330,48.370,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-151,-18.330,48.370,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-152,-18.330,48.370,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-153,-18.330,48.370,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-154,-18.330,48.370,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-155,-18.330,48.370,steppe,steppe,7,grassland and dry shrubland,0
0,Af-156,-18.250,47.180,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-157,-18.250,47.180,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-158,-18.170,47.280,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-159,-18.170,47.280,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-16,-31.750,29.400,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-160,-18.170,47.280,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-161,-18.170,47.280,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-162,-18.170,47.280,steppe,steppe,7,grassland and dry shrubland,0
0,Af-163,-18.170,47.280,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-164,-18.170,47.280,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-165,-18.170,47.280,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-166,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-167,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-168,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-169,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-17,-31.750,29.400,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-170,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-171,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-172,-17.850,48.300,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-173,-12.660,49.200,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-174,-12.660,49.200,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-175,-12.660,49.200,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-176,-12.660,49.200,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-177,-12.660,49.200,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-178,-12.600,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-179,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-18,-31.750,29.400,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-180,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-181,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-182,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-183,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-184,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-185,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-186,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-187,-12.500,49.170,warm-temperate evergreen and mixed forest,warm-temperate evergreen broadleaf and mixed forest,33,warm-temperate forest,0
0,Af-188,-9.650,28.720,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-189,-9.050,33.650,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-19,-31.550,24.230,steppe,steppe,7,grassland and dry shrubland,0
0,Af-190,-8.830,31.380,xerophytic woods/scrub,xerophytic woods/scrub,36,grassland and dry shrubland,0
0,Af-191,-8.000,32.420,steppe,steppe,7,grassland and dry shrubland,0
0,Af-192,-4.850,34.730,steppe,steppe,7,grassland and dry shrubland,0
0,Af-193,-4.820,34.730,steppe,steppe,7,grassland and dry shrubland,0
0,Af-194,-4.680,11.830,tropical semi-evergreen broadleaf forest,tropical semi-evergreen broadleaf forest,28,tropical forest,0
0,Af-195,-4.670,11.830,tropical semi-evergreen broadleaf forest,tropical semi-evergreen broadleaf forest,28,tropical forest,0
0,Af-196,-4.670,11.830,tropical semi-evergreen broadleaf forest,tropical semi-evergreen broadleaf forest,28,tropical forest,0
0,Af-197,-4.670,11.830,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-198,-4.670,11.830,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-199,-4.670,34.670,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-2,-32.650,26.880,steppe,steppe,7,grassland and dry shrubland,0
0,Af-20,-31.500,24.270,steppe,steppe,7,grassland and dry shrubland,0
0,Af-200,-4.580,11.750,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-201,-4.580,11.830,tropical semi-evergreen broadleaf forest,tropical semi-evergreen broadleaf forest,28,tropical forest,0
0,Af-202,-4.580,11.830,tropical savanna,tropical savanna,11,savanna and dry woodland,0
0,Af-203,-4.570,34.920,steppe,steppe,7,grassland and dry shrubland,0
0,Af-204,-4.530,12.130,tropical evergreen broadleaf forest,tropical evergreen broadleaf forest,15,tropical forest,0
